date,death,negative,positive
3/7/2021,54124,266839,3501394
3/6/2021,53866,259522,3497578
3/5/2021,53448,250567,3493126
3/4/2021,53048,230703,3488467
3/3/2021,52775,224086,3484963
3/2/2021,52497,220218,3481611
3/1/2021,52194,192062,3479078
2/28/2021,51979,178870,3475562
2/27/2021,51821,168534,3470877
2/26/2021,51382,168534,3465726
2/25/2021,50991,152604,3460326
2/24/2021,49877,145391,3455361
2/23/2021,49563,145191,3450058
2/22/2021,49338,127307,3446611
2/21/2021,49105,115364,3441946
2/20/2021,48825,103095,3435186
2/19/2021,48344,103095,3428518
2/18/2021,47924,101674,3421720
2/17/2021,47507,24599,3416147
2/16/2021,47107,23809,3412057
2/15/2021,47043,21772,3406365
2/14/2021,46843,21772,3399878
2/13/2021,46435,20549,3391036
2/12/2021,46002,20549,3381615
2/11/2021,45456,20549,3371556
2/10/2021,44995,17380,3362981
2/9/2021,44477,17380,3354591
2/8/2021,44150,15921,3346340
2/7/2021,43942,13452,3335926
2/6/2021,43647,12567,3320862
2/5/2021,43024,11304,3308468
2/4/2021,42466,11249,3294447
2/3/2021,41811,10424,3281271
2/2/2021,41330,8787,3270770
2/1/2021,40908,7981,3258706
1/31/2021,40697,7981,3243348
1/30/2021,40216,7981,3224374
1/29/2021,39578,7317,3205947
1/28/2021,38961,8955,3186610
1/27/2021,38224,19864,3169914
1/26/2021,37527,6617,3153186
1/25/2021,37118,3868,3136158
1/24/2021,36790,28156,3109151
1/23/2021,36361,13192,3085040
1/22/2021,35768,10336,3062068
1/21/2021,35004,0,3039044
1/20/2021,34433,15930,3019371
1/19/2021,33739,7213,2996968
1/18/2021,33593,200,2973174
1/17/2021,33392,17884,2942475
1/16/2021,32960,11943,2900246
1/15/2021,32291,12269,2859624
1/14/2021,31654,0,2816969
1/13/2021,31102,1421,2781039
1/12/2021,30513,77075,2747288
1/11/2021,29965,790,2710801
1/10/2021,29701,2037,2670962
1/9/2021,29233,0,2621277
1/8/2021,28538,1223,2568641
1/7/2021,28045,0,2518611
1/6/2021,27462,0,2482226
1/5/2021,27003,3169,2452334
1/4/2021,26635,0,2420894
1/3/2021,26538,1459,2391261
1/2/2021,26357,2469,2345909
1/1/2021,25971,885,2292568
12/31/2020,25386,1263,2245379
12/30/2020,24958,55,2218142
12/29/2020,24526,825,2187221
12/28/2020,24284,1637,2155976
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
